Key,Translation
action,ação
add,Adicionar
alerts,Alertas
analog_input,Entrada Analógica
analog_inputs,Entradas Analógicas
apply,Aplicar
are_you_sure,Tem certeza?
ato,ação
cancel,cancelar
capabilities,
charts,tabelas
clear,Limpar
columns,Colunas
configure,Configurar
delete,Excluir
devmode_warning,Aviso
disabled,desativar
documentation,Documentação
done,Feito
doser,dosador
driver,controlador
edit,Editar
enabled,ativar
end_time,Hora de Fim
equipment,Equipamento
errors,Erros
full_moon,Lua Cheia
health,Saúde
height,Altura
in-use,Em Uso
inlet,entrada
inlets,entradas
install,instalação
jack,jack
jacks,jacks
journal,diário
light,luz
lights,luzes
loading,Carregando
maximum,máximo
minimum,mínimo
name,Nome
no,Não
none,nenhum
off,desligar
ok,Ok
on,ligar
one_shot,uma vez
optional,opcional
outlet,tomada
outlets,tomadas
pin,pino
pins,pinos
profile,perfil
reset,redefinir
reverse,inverter
rows,linhas
running,Executando
save,Salvar
save_successful,Salvo com sucesso
schedule,agendar
sec,seg
second_s,segundos
select,Selecionar
select_file,selecionar arquivo
since,Desde
start_time,Hora de Início
status,Estado
stayoffonboot,Permanece ligado
update,Atualizar
upgrade_reef_pi,Atualizar
width,largura
yes,sim
ato:alert_after,Alertar após
ato:ato_usage,Uso do ATO
ato:chk_freq,Verificar frequência
ato:control,Controle
ato:control_target,objetivo
ato:controlequipment,Controlar equipamento
ato:controlmacro,Macro do equipamento
ato:controlnothing,Não controlar
ato:debounce,Debounce
ato:disable_on_alert,Desativar em alerta
ato:reset_usage,Reiniciar uso
ato:title_delete,Excluir
ato:total_seconds_pump_on,Número de segundos para ligar a bomba
ato:warn_delete,Aviso de exclusão
ato:warn_reset,Aviso de reinicialização
camera:capture_flags,Capturar bandeira
camera:enable,Ativar
camera:take_photo,Tirar Foto
camera:target_dir,Diretório
camera:tick_interval,Intervalo de tempo
camera:tick_must_be_positive,O tempo deve ser um valor positivo
camera:to_gdrive,para o Google Drive
capabilities:ato,ATO
capabilities:camera,Câmera
capabilities:configuration,Configuração
capabilities:dashboard,Painel
capabilities:dev_mode,Modo Dev
capabilities:doser,Dosador
capabilities:dosing_pumps,Bombas Dosadoras
capabilities:equipment,Equipamento
capabilities:health_check,Verificação de Saúde
capabilities:journal,diário
capabilities:lighting,Iluminação
