Key,	Translation
add,	Pridať
alerts,	Upozornenie
analog_input,	Analogový vstup
analog_inputs,	Analogové vstupy
are_you_sure,	Ste si isty 
ato,	ATO
cancel,	Zrušiť
charts,	Grafy
clear,	Vymazať
color,	Farba
columns,	Stlpec
configure,	Konfigurácia
delete,	Vymazať
disabled,	Vypnuté
documentation,	Dokumentácia
done,	Hotovo
doser,	Dávkovač
driver,	Ovladač
edit,	Upraviť
enabled,	Zapnuté
end_time,	Čas ukončenia
equipment,	Zásuvky
errors,	Chyba
full_moon,	Úplne
health,	Stav
height,	Výška
import_db,	Import databázy
in-use,	Používa sa
inlet,	Vstup
inlets,	Vstupy
install,	Instalácia
jack,	Konektor
jacks,	Konektory
light,	Svetlo
lights,	Svetlá
loading,	Načítavam
maximum,	Maximum
minimum,	Minimum
name,	Názov
none,	Žiadny
off,	Vypnuté
ok,	Ok
on,	Zapnuté
one_shot,	Jednorazový
outlet,	Zásuvka
outlets,	Zásuvky
pin,	Pin
profile,	Plán
reverse,	Opačne
rows,	Riadok
running,	Bežiaci
save,	Uložiť
schedule,	Plán
sec,	Sekunda
second_s,	Druhý
select,	Vybrať
select_file,	Názov súboru
since,	Odkedy
start_time,	Čas spustenia
status,	Funkcia
unit,	Jednotka
update,	Aktualizácia
upgrade_reef_pi,	Aktualizácia reef-pi
width,	Šírka
ato:alert_after,	Upozornenie
ato:ato_usage,	Využitie ATO
ato:chk_freq,	Skontrolovať frekvenciu
ato:chk_freq_number,	Kontrola frekvencie musí byť číslo
ato:chk_freq_number_value,	Frekvencia kontroly musí byť 1 sekunda alebo väčšia
ato:chk_freq_required,	Vyžaduje sa frekvencia kontroly
ato:control,	Kontrola
ato:control_pump,	Čerpadlo
ato:control_target,	Najvyšší výkon
ato:control_equipment,	Zariadenie
ato:control:macro,	Makro
ato:control_nothing,	Žiadne
ato:disable_on_alert,	Zakázať v upozornení
ato:inlet_required,	Vyžaduje sa vstup
ato:name_required,	Vyžaduje sa názov
ato:status_required,	Vyžaduje sa stav ATO
ato:threshold_required,	Prahová hodnota sa vyžaduje  keď je povolené upozornenie
ato:threshold_value,	Prah musí byť číslo
ato:total_seconds_pump_on,	Celkom zapnuté čerpadlo
ato:validation_error,	Nastavenia ATO nie je možné uložiť z dôvodu chýb overenia. Opravte chyby a skúste to znova.
ato:warn_delete,	Táto akcia sa odstráni
capabilities:ato,	ATO
capabilities:camera,	Kamera
capabilities:configuration,	Konfigurácia
capabilities:dashboard,	Panel
capabilities:dev_mode,	Režím pre vývojarov
capabilities:doser,	Dávkovač
capabilities:dosing_pumps,	Davkovacia pumpa
capabilities:equipment,	Zásuvky
capabilities:health_check,	Kontrola stavu
capabilities:journal,	Denník
capabilities:lighting,	Osvetlenie
capabilities:lights,	Svetlá
capabilities:log,	Logy
capabilities:macro,	Makro
capabilities:macros,	Makra
capabilities:manager,	Inštanca
capabilities:ph,	PH
capabilities:temperature,	Teplota
capabilities:timers,	Časovač
collapsible:delete,	Vymazať
collapsible:edit,	Upraviť
color_picker:choose,	Vybrať
configuration:about:,	Aktuálny čas
configuration:about:,	Stav
configuration:about:uptime,	Čas
configuration:about:version,	Verzia
configuration:about:website,	Weová lokalita
configuration:admin:db_export,	Stiahnuť aktuálnu databázu
configuration:admin:db_import,	Import existujúcej databázy
configuration:admin:power off,	Vypnút
configuration:admin:reboot,	Reštartovať
configuration:admin:reload,	Odhlásiť sa
configuration:admin:sign_out,	Prihlásiť sa
configuration:authentication,	Prihlásenie
configuration:authentication:error_pass,	Musíte zadať heslo
configuration:authentication:error_user,	Musíte zadať používateľské meno
configuration:settings:address,	Adresa
configuration:settings:alert_health_check,	Alerta de estado
configuration:settings:capabilities,	Možnosti
configuration:settings:capabilities_required,	Upozornenie na kontrolu stavu
configuration:settings:display,	Display
configuration:settings:enable_profiling,	Povoliť profil
configuration:settings:enable_prometheus,	Povoliť
